country_code,region_code,name_slug,name,name_normalized,osm_relation_id,wikidata_id,is_capital,lon,lat
br,pb,arara,Arara,Arara,301380,Q37378,,-35.75954172,-6.826191721
br,pb,araruna,Araruna,Araruna,301427,Q2065337,,-35.73598051,-6.531447021
br,pb,areia,Areia,Areia,301478,Q1816283,,-35.7033914,-6.965515
br,pb,areia-de-baraunas,Areia de Baraúnas,Areia de Baraunas,301474,Q1800798,,-36.94350796,-7.123695013
br,pb,areial,Areial,Areial,301353,Q963490,,-35.92280943,-7.049961089
br,pb,aroeiras,Aroeiras,Aroeiras,301425,Q1808029,,-35.71559295,-7.548462023
br,pb,assuncao,Assunção,Assuncao,301400,Q1808674,,-36.73318748,-7.076326944
br,pb,baia-da-traicao,Baía da Traição,Baia da Traicao,301291,Q978537,,-34.9499311,-6.679529123
br,pb,bananeiras,Bananeiras,Bananeiras,301418,Q525672,,-35.6315999,-6.749637275
br,pb,barauna,Baraúna,Barauna,301346,Q2662559,,-36.25304135,-6.642405035
br,pb,barra-de-santana,Barra de Santana,Barra de Santana,301475,Q1808715,,-35.99631408,-7.522833781
br,pb,barra-de-santa-rosa,Barra de Santa Rosa,Barra de Santa Rosa,301341,Q1800788,,-36.05977264,-6.720252678
br,pb,barra-de-sao-miguel,Barra de São Miguel,Barra de Sao Miguel,301391,Q2309706,,-36.32153597,-7.752670626
br,pb,bayeux,Bayeux,Bayeux,301421,Q2065978,,-34.92918582,-7.132276485
br,pb,belem,Belém,Belem,301342,Q792606,,-35.53627408,-6.69404261
br,pb,belem-do-brejo-do-cruz,Belém do Brejo do Cruz,Belem do Brejo do Cruz,301355,Q285051,,-37.53950248,-6.188574998
br,pb,bernardino-batista,Bernardino Batista,Bernardino Batista,301375,Q1816080,,-38.54886922,-6.453547793
br,pb,boa-ventura,Boa Ventura,Boa Ventura,301326,Q677612,,-38.21895088,-7.422282145
br,pb,boa-vista,Boa Vista,Boa Vista,301450,Q2065971,,-36.23537366,-7.257913081
br,pb,bom-jesus,Bom Jesus,Bom Jesus,301406,Q2066065,,-38.65514281,-6.817957651
br,pb,bom-sucesso,Bom Sucesso,Bom Sucesso,6226469,Q2087575,,-37.9300237,-6.445046723
br,pb,bonito-de-santa-fe,Bonito de Santa Fé,Bonito de Santa Fe,301297,Q776733,,-38.51649531,-7.310763082
br,pb,boqueirao,Boqueirão,Boqueirao,301431,Q1808935,,-36.13340475,-7.48264792
br,pb,igaracy,Igaracy,Igaracy,301382,Q2010961,,-38.14669464,-7.179319291
br,pb,borborema,Borborema,Borborema,301440,Q338286,,-35.59937597,-6.804305883
br,pb,brejo-do-cruz,Brejo do Cruz,Brejo do Cruz,301302,Q1808002,,-37.50016264,-6.347707607
br,pb,brejo-dos-santos,Brejo dos Santos,Brejo dos Santos,301305,Q1808661,,-37.82371018,-6.376183308
br,pb,caapora,Caaporã,Caapora,301470,Q1816118,,-34.91785014,-7.514287641
br,pb,cabaceiras,Cabaceiras,Cabaceiras,301361,Q606068,,-36.28434189,-7.490669874
br,pb,cabedelo,Cabedelo,Cabedelo,301292,Q986350,,-34.83943002,-6.966983063
br,pb,cachoeira-dos-indios,Cachoeira dos Índios,Cachoeira dos Indios,301415,Q1816046,,-38.67830319,-6.923935853
br,pb,cacimba-de-areia,Cacimba de Areia,Cacimba de Areia,301260,Q1807989,,-37.15821695,-7.128473377
br,pb,cacimba-de-dentro,Cacimba de Dentro,Cacimba de Dentro,301357,Q1816227,,-35.7928209,-6.640016747
br,pb,cacimbas,Cacimbas,Cacimbas,301461,Q970131,,-37.06040211,-7.212359303
br,pb,caicara,Caiçara,Caicara,301445,Q1816219,,-35.46911428,-6.617469791
